bulk_id,slab_millers,slab_shift,slab_comp,top,slab_identifier,Ametal,Bmetal,Cmetal,surface_energy,Cost,DFT_ads_E,symbol,AandB,reaction_type,activity_pathway,optimal_energy,activity_width,source_file,processed_date,ascicat_version,bimetallic_filtered
mp-1183707_H_1_100,100,,,,,Co,Mo,,2.442219247806758,54.880775,-0.37133341,CoMo3,Co-Mo,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-2083_H_1_100,100,,,,,Ir,Sn,,1.090650622180931,45567.318033333315,-0.27765255,Sn2Ir,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-838_H_0_100,100,,,,,Cu,Sn,,0.8615917677481899,15.4369325,-0.20635316,Cu3Sn,Cu-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22040_H_0_100,100,,,,,Ir,Sn,,0.8829991862246664,41013.650435,-0.34021083,Sn14Ir6,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22040_H_2_100,100,,,,,Ir,Sn,,0.9679935106624536,41013.650435,-0.19969945,Sn14Ir6,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22344_H_0_100,100,,,,,Ru,Sn,,1.1481284620624874,6097.940435,-0.38301888,Sn14Ru6,Ru-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22344_H_2_100,100,,,,,Ru,Sn,,1.1995105483081083,6097.940435,-0.17173688,Sn14Ru6,Ru-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1009264_H_1_100,100,,,,,Co,Nb,,2.146260779717409,57.05493,-0.38665545,NbCo,Co-Nb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1009826_H_1_100,100,,,,,Co,Ta,,2.4163162481111606,192.17493,-0.34627902,TaCo,Co-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1066232_H_0_100,100,,,,,Fe,Pt,,2.6965973883741574,7676.8700375,-0.27941948,Fe3Pt,Fe-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1089_H_1_100,100,,,,,Ir,Ti,,2.756094099187406,102482.21043,-0.39861359,TiIr3,Ir-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11501_H_1_100,100,,,,,Mn,Ni,,2.1346450520353595,11.82464,-0.38129825,MnNi3,Mn-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11516_H_1_100,100,,,,,Nb,Ru,,2.145835445975428,10167.69,-0.34538455,NbRu,Nb-Ru,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11552_H_0_100,100,,,,,Pt,Ti,,1.809788504331208,15357.00586,-0.20238985,TiPt,Pt-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1180_H_1_100,100,,,,,Mn,Pt,,1.9335226064480648,23030.4009125,-0.32307272,MnPt3,Mn-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1186016_H_0_100,100,,,,,Mo,Pt,,2.595345066465862,7723.25081,-0.23771054,Mo3Pt,Mo-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1187219_H_0_100,100,,,,,Pt,Ta,,2.352939883712662,7939.7825,-0.32905461,Ta3Pt,Pt-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-12086_H_0_100,100,,,,,Cu,Pt,,1.3821057275347777,7684.57142,-0.32055171,Cu3Pt,Cu-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-12107_H_1_100,100,,,,,Pt,Ti,,1.927651718939245,23032.092930000003,-0.29163777,TiPt3,Pt-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-12110_H_0_100,100,,,,,Ru,Ta,,2.377702033853564,10302.81,-0.35850971,TaRu,Ru-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
